document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program
,69699,Perlco Builders/tall Cedars/rd Xing,Tall Cedars Rd,"Clinton,MD,20735",Prince George's,Settlement Agreement,SAP-15-2247,04/22/2015,09/15/2015,Non-Tidal Wetlands;Notice of Intent,Notice of Intent (Construction)
,31408,Harford County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Worcester,Offer to Settle,,01/13/2023,,Surface Water Discharge Unauthorized,Collection System (SSO)
,31412,Queen Anne's County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Queen Anne's,Penalty Settlement,"Bull, Kevin",07/22/2015,08/18/2015,Surface Water Discharge Unauthorized,Collection System (SSO)
,31413,Somerset County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Somerset,Penalty Settlement,Patrick Noyes,04/04/2017,05/12/2017,Surface Water Discharge Unauthorized,Collection System (SSO)
,31416,Worcester County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Worcester,Settlement Agreement,Patrick Noyes,08/23/2016,09/07/2016,Surface Water Discharge Unauthorized,Collection System (SSO)
,31417,Washington Suburban Sanitary Commission Sanitary Sewer Overflows,Sewerage Systems in Montgomery & Prince George's Counties,"PG & Montgolery Counties,MD,00000",Statewide,Required Confirmation,Lenn Roberts,09/01/2020,11/04/2020,Surface Water Discharge Unauthorized;Surface Water Discharge Unauthorized,Collection System (SSO)
,31417,Washington Suburban Sanitary Commission Sanitary Sewer Overflows,Sewerage Systems in Montgomery & Prince George's Counties,"PG & Montgolery Counties,MD,00000",Statewide,Stipulated Penalty,Patrick Noyes,04/05/2018,05/04/2018,Surface Water Discharge Unauthorized,Collection System (SSO)
,31447,Abner's Marina,3705 Harbor Road,"Chesapeake Beach,MD,20732",Calvert,Consent Decree,Arno Laud,04/12/2013,12/18/2018,Surface Water Discharge Permit;Tidal Wetlands,Industrial Stormwater
,31447,Abner's Marina,3705 Harbor Road,"Chesapeake Beach,MD,20732",Calvert,Penalty Settlement,Arno Laud,08/23/2017,08/31/2017,Sediment;Surface Water Discharge Permit,
,31447,Abner's Marina,3705 Harbor Road,"Chesapeake Beach,MD,20732",Calvert,Penalty Settlement,PS-18-2483,08/23/2017,08/31/2017,Sediment;Surface Water Discharge Permit,
,31562,"Greenlight Biofuels Princess Anne, LLC",11501 Progress Lane,"Princess Anne,MD,21853",Somerset,Settlement Agreement,Arno Laud,07/24/2015,10/16/2015,Surface Water Discharge Unauthorized,Industrial Minor
,32218,WSSC - Bi-County Water Main Package Wastewater Treatment Plant,"9212 Kensington Pkwy, Tunnel between Tuckerman Lane & Stoneybrook Dr","Chevy Chase,MD,20815",Montgomery,Consent Order,,01/07/2015,01/22/2015,Surface Water Discharge Permit,
,33550,"Byrd Tire & Automotive Services, LLC",1720 Dual Hwy,"Hagerstown,MD,21740",Washington,Penalty Settlement,13-WA-0025,10/17/2012,11/14/2012,Sediment,
,33550,"Byrd Tire & Automotive Services, LLC",1720 Dual Hwy,"Hagerstown,MD,21740",Washington,Penalty Settlement,C-13-1783,10/17/2012,11/14/2012,Sediment,
,35508,"Safeway Moving and Storage, Inc",1701 Leland Ave,"Middle River,MD,21220",Baltimore,Settlement Agreement,Julie Gowe,07/18/2014,08/17/2014,Surface Water Discharge Unauthorized,
,42398,"P & J Contracting Company, Inc",3010 Ridgewood Ave,"Baltimore City,MD,21215",Baltimore City,Consent Decree,CJ-21-2692,01/31/2021,,Sediment;Stormwater Management,Industrial Minor
,42398,"P & J Contracting Company, Inc",3010 Ridgewood Ave,"Baltimore City,MD,21215",Baltimore City,Consent Decree,Jessica Herpel,09/09/2015,02/22/2021,Sediment,Industrial Minor
,63616,"Red Hill Lots (1-84)
Phase 2 - Ben BLVD and Erin Court Lots 18-56","Red Hill Rd, Ben Boulevard, Elkton, Maryland 21921,  39.61253°,  -75.80515°","Elkton,MD,21921",Cecil,Settlement Agreement,SCO-10-1067,09/14/2012,03/12/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,63912,JTM Inc./Stoltzfus Pit,28165 Briscoe Anderson Ln,"Mechanicsville,MD,20659",St. Mary's,Site Complaint,,07/18/2008,07/13/2016,Not Applicable,
,63957,Garrett Ave (Ziegler),"385 EDGEWATER RD, Lots 1-3 Home Acres","Beltsville,MD,20705",Prince George's,,,,07/13/2016,Not Applicable,
,63961,"1816 Park Beach Drive,Seamon Property",1816 Park Beach Dr,"Aberdeen,MD,21001",Harford,Consent Order,,06/10/2009,07/09/2009,Tidal Wetlands,
,64006,MO DGS/Casey Parcel 6&7,CRABBS BRANCH WAY,"Gaithersburg,MD,20855",Montgomery,Penalty Settlement,PS-13-1826,02/21/2012,01/15/2013,Notice of Intent;Sediment,Notice of Intent (Construction)
,64054,Joseph and Stella Hayse,Greenbank Rd and Oak Rd,"Perryville,MD,21903",Cecil,Required Confirmation,SCO-09-0758,,,Not Assigned,
,64297,Vera's White Sands Beach Club,1200 White Sands,"Lusby,MD,20657",Calvert,Order of Contempt,CJ-20-2604,07/30/2019,,Tidal Wetlands,
,22913,Castaways RV Resort and Campground,12550 Eagles Nest Rd,"Berlin,MD,21811",Worcester,"Complaint, Order, Penalty",Eisgruber,08/03/2012,01/08/2013,Groundwater Discharge Permit;Groundwater Discharge Unauthorized,Municipal Minor
,22933,GenON MD Ash Management LLC Brandywine,11700 N Keys Rd,"Brandywine,MD,20613",Prince George's,Penalty Settlement,Joe Bieberich,05/09/2017,05/12/2017,Surface Water Discharge Unauthorized,Industrial Minor
,23058,Baltimore Scrap Corporation,3000 Vera St,"Curtis Bay,MD,21226",Baltimore City,Settlement Agreement,SA-18-2503,08/13/2018,,Stormwater Management,Industrial Stormwater
,23058,Baltimore Scrap Corporation,3000 Vera St,"Curtis Bay,MD,21226",Baltimore City,Stipulated Penalty,SP-22-2787,05/18/2022,,Stormwater Management,Industrial Stormwater
,23458,Burch Farms,Mt. Wolfe Rd & Indian Creek Dr,"Charlotte Hall,MD,20622",St. Mary's,Consent Order,COP-16-2363,02/04/2016,04/20/2018,Groundwater Discharge Permit,Municipal Minor
,23481,Hancock WWTP,Hess Road (NE of Hancock),"Hancock,MD,21750",Washington,Stipulated Penalty,Jess Herpel,07/29/2020,08/13/2020,Surface Water Discharge Permit,Municipal Minor
,23482,The City of Westminster Water Reclamation Facility (WRF),1161 Old New Windsor Pike,"Westminster,MD,21158",Carroll,Required Confirmation,Lenn Roberts,05/04/2020,05/07/2020,Surface Water Discharge Permit,Municipal Major
,23482,The City of Westminster Water Reclamation Facility (WRF),1161 Old New Windsor Pike,"Westminster,MD,21158",Carroll,Required Confirmation,Lenn Roberts,05/04/2020,05/18/2020,Not Assigned,
,23546,Chesapeake City North WWTP,90 Boatyard Rd,"Chesapeake City,MD,21915",Cecil,Penalty Settlement,PS-15-2177,01/02/2015,01/13/2015,Groundwater Discharge Unauthorized,Collection System (SSO)
,23551,GenOn MD Ash Management LLC-Faulkner Flyash Management Site,10200 Faulkner Road,"Faulkner,MD,20664",Charles,Stipulated Penalty,Patrick Noyes,08/24/2018,08/24/2018,Surface Water Discharge Permit,Industrial Minor
,23641,Tylerton WWTP,"3039 Union Church Rd, Smith Island","Tylerton,MD,21866",Somerset,Consent Order,CO-10-0998,11/23/2009,,Surface Water Discharge Permit,
,23647,Maybelle Manor Moblie Home Park,218 Mount Zoar Rd,"Conowingo,MD,21918",Cecil,Consent Order,COP-15-2156,12/03/2014,12/07/2017,Groundwater Discharge Permit;Groundwater Discharge Unauthorized,Municipal Minor
,23650,Rising Sun WWTP,2500 Conowingo Road,"Rising Sun,MD,21911",Cecil,Consent Decree,"Bull, Kevin",03/24/2010,02/10/2015,Surface Water Discharge Permit,Municipal Minor
,23650,Rising Sun WWTP,2500 Conowingo Road,"Rising Sun,MD,21911",Cecil,Consent Decree,Patrick Noyes,05/14/2015,10/01/2016,Surface Water Discharge Permit,Municipal Minor
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1734950,23652,Newark WWTP,7025 Worcester Hwy,"Newark,MD,21841",Worcester,Penalty Settlement,PS-23-2825,10/14/2022,01/19/2023,Surface Water Discharge Permit,Municipal Minor
,24703,Oldfields School,1500 Glencoe Rd,"Sparks Glencoe,MD,21152",Baltimore,Consent Order,CO-13-1895,04/05/2013,03/28/2018,Groundwater Discharge Permit,Municipal Minor
,25560,Taneytown Wastewater Treatment Plant,3200 Whippoorwill Drive,"Taneytown,MD,21787",Carroll,Consent Order,CO-13-1755,09/10/2012,06/11/2021,Surface Water Discharge Permit,Municipal Major
,25560,Taneytown Wastewater Treatment Plant,3200 Whippoorwill Drive,"Taneytown,MD,21787",Carroll,Stipulated Penalty,SP-21-2734,07/21/2021,08/02/2021,Surface Water Discharge Permit,Municipal Major
,28336,Chaney Enterprises,5200 Chrysler Way,"Upper Marlboro,MD,20772",Prince George's,Administrative Order,AOP-16-2305,09/23/2015,02/23/2016,Surface Water Discharge Permit,Industrial Minor
,31284,"P & J Contracting Company, Inc.",4300 Shannon Dr.,"Baltimore,MD,21213",Baltimore City,Consent Order,CD-16-2304,10/02/2012,09/09/2015,Sediment;Stormwater Management,Industrial Stormwater
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1597406,31405,Allegany County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Allegany,Stipulated Penalty,SP-21-2723,12/31/2020,,Surface Water Discharge Unauthorized,Collection System (SSO)
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1596837,31405,Allegany County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Allegany,Stipulated Penalty,SP-22-2811,04/30/2022,,Surface Water Discharge Unauthorized,Collection System (SSO)
,31401,Saint Mary's County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",St. Mary's,Penalty Settlement,SAP-17-2416,08/04/2016,08/31/2016,Surface Water Discharge Unauthorized,Collection System (SSO)
,31403,Frederick County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Frederick,Penalty Settlement,Joe Bieberich,04/04/2017,04/11/2017,Surface Water Discharge Unauthorized,Collection System (SSO)
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1596837,31405,Allegany County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Allegany,Stipulated Penalty,SP-23-2892,04/03/2023,,Surface Water Discharge Unauthorized,Collection System (SSO)
,31406,Washington County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Washington,Penalty Settlement,Joe Bieberich,03/24/2017,04/12/2017,Surface Water Discharge Unauthorized,Collection System (SSO)
,31409,Howard County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Howard,Penalty Settlement,Arno Laud,11/13/2014,12/26/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,31409,Howard County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Howard,Penalty Settlement,Ryan Seavolt,08/16/2012,10/02/2012,Surface Water Discharge Unauthorized,Collection System (SSO)
,31409,Howard County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Howard,Stipulated Penalty,Arno Laud,09/06/2019,10/08/2019,Surface Water Discharge Unauthorized,Collection System (SSO)
,31409,Howard County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Howard,Stipulated Penalty,SP-22-2750,10/20/2021,09/26/2022,Surface Water Discharge Unauthorized,Collection System (SSO)
,31409,Howard County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Howard,Stipulated Penalty,SP-22-2802,09/09/2022,09/26/2022,Surface Water Discharge Unauthorized,Collection System (SSO)
,31411,Kent County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Kent,Penalty Settlement,"Bull, Kevin",08/10/2011,09/23/2016,Surface Water Discharge Unauthorized,Collection System (SSO)
,31411,Kent County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Kent,Penalty Settlement,"Bull, Kevin",08/16/2012,11/06/2012,Surface Water Discharge Unauthorized,Collection System (SSO)
,31413,Somerset County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Somerset,Penalty Settlement,Jami Everton,02/24/2020,09/04/2020,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1631303,31417,Washington Suburban Sanitary Commission Sanitary Sewer Overflows,Sewerage Systems in Montgomery & Prince George's Counties,"PG & Montgolery Counties,MD,00000",Statewide,Consent Decree,Lenn Roberts,07/21/2005,,Surface Water Discharge Unauthorized,Collection System (SSO)
,31417,Washington Suburban Sanitary Commission Sanitary Sewer Overflows,Sewerage Systems in Montgomery & Prince George's Counties,"PG & Montgolery Counties,MD,00000",Statewide,Stipulated Penalty,Kevin Bull,08/09/2016,09/01/2016,Surface Water Discharge Permit,Collection System (SSO)
,31417,Washington Suburban Sanitary Commission Sanitary Sewer Overflows,Sewerage Systems in Montgomery & Prince George's Counties,"PG & Montgolery Counties,MD,00000",Statewide,Stipulated Penalty,Lenn Roberts,10/10/2019,08/18/2020,Surface Water Discharge Unauthorized,Collection System (SSO)
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1631303,31417,Washington Suburban Sanitary Commission Sanitary Sewer Overflows,Sewerage Systems in Montgomery & Prince George's Counties,"PG & Montgolery Counties,MD,00000",Statewide,Stipulated Penalty,SP-22-2748,10/25/2021,,Surface Water Discharge Unauthorized,Collection System (SSO)
,31553,"Kemira Water Solutions, Inc. - Baltimore Plant",3925 Fort Armistead Road,"Curtis Bay,MD,21226",Baltimore City,Penalty Settlement,PS-15-2227,03/04/2015,04/06/2015,Surface Water Discharge Unauthorized,Collection System (SSO)
,32502,Harford County Public Schools Administration Building,102 S. Hickory Avenue,"Bel Air,MD,21014",Harford,Penalty Settlement,PS-12-1683,07/18/2012,07/19/2012,Surface Water Discharge Unauthorized,
,42398,"P & J Contracting Company, Inc",3010 Ridgewood Ave,"Baltimore City,MD,21215",Baltimore City,Complaint & Penalty,,10/03/2012,10/16/2012,Sediment,
,70438,Cl Brm/westminster Hs/swm Facility,WESTMINSTER HIGH SCHOOL,"Westminster,MD",Carroll,Consent Order,COP-13-1954,07/09/2013,08/06/2013,Non-Tidal Wetlands,
,70460,"Hollingsworth, Joe/stream Xing",2809 Chancellor Point Rd,"Trappe,MD,21673",Talbot,"Complaint, Order, Penalty",Eisgruber,01/01/2012,06/11/2014,Tidal Wetlands,
,70460,"Hollingsworth, Joe/stream Xing",2809 Chancellor Point Rd,"Trappe,MD,21673",Talbot,Consent Decree,Joe Bieberich,06/11/2014,09/14/2016,Non-Tidal Wetlands,
,72914,Assoc Of Maryland Pilots,239 ALEXANDER ST,"Solomons,MD",Calvert,Penalty Settlement,PS-13-1848,02/04/2013,02/19/2013,Tidal Wetlands,
,74851,Bauserman Service/maryland Airport/lot,RTE 224 (LIVINGSTON ROAD),"Indian Head,MD",Charles,Penalty Settlement,PS-13-1943,05/23/2013,05/23/2013,Notice of Intent,
,78229,City Of Westminster/sanitary Sewer,CITY OF WESTMINSTER,"Westminster,MD,",Carroll,Penalty Settlement,PS-13-1847,02/01/2013,09/27/2016,Surface Water Discharge Unauthorized,Collection System (SSO)
,85056,WSSC Rocky Gorge WPS,7400 Brooklyn Bridge Road,"Laurel,MD,20707",Prince George's,Penalty Settlement,10SF0247,02/24/2015,03/24/2015,Notice of Intent;Sediment,Notice of Intent (Construction)
,98966,Gerald Birch,49705 Airedele Road,"Ridge,MD,20680",St. Mary's,Penalty Settlement,PS-13-1786,10/19/2012,08/23/2013,Tidal Wetlands,
,104312,Solomons Beacon Inn/bulkhead,255 Lore Road,"Solomons,MD,20688",Calvert,Penalty Settlement,PS-14-1990,09/17/2013,09/18/2013,Surface Water Discharge Unauthorized,Collection System (SSO)
,109495,VOB Limited Partnership-Beech Tree,Intersect of Leeland Road and US 301,"Upper Marlboro,MD,20772",Prince George's,Consent Order,COP-13-1836,01/15/2013,12/14/2013,Sediment,
,113856,White Hall Yacht Yard/boat Ramp,WHITE HALL YACHT YARD INC,"Annapolis,MD",Anne Arundel,Settlement Agreement,SA-14-2046,01/27/2014,01/27/2014,Tidal Wetlands,
,118803,"Lavato, Domenic/revetment",6221 Ray Norwood Rd,"Prince Frederick,MD,20678",Calvert,Settlement Agreement,Patrick Noyes,11/27/2017,03/08/2018,Tidal Wetlands,
,122010,"Mapes Road Installation of 20""Waterline","39.103968, -76.737524","Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,PS-15-2279,06/30/2015,07/22/2015,Notice of Intent,Notice of Intent (Construction)
,125437,Grayson Wilbur,2375 Cape Leonard Drive,"Saint Leonard,MD,20685",Calvert,Penalty Settlement,PS-13-1919,04/26/2013,05/28/2013,Tidal Wetlands,
,127505,Triumph Industrial Park,505 Blue Ball Road,"Elkton,MD,21921",Cecil,Penalty Settlement,C-15-2211,01/22/2015,02/11/2015,Notice of Intent;Sediment,Notice of Intent (Construction)
,129153,"Donkat Properties, LLC",Marion Quimby Drive,"Stevensville,MD,21666",Queen Anne's,Complaint & Penalty,SA-13-1855,11/20/2012,01/28/2014,Sediment,
,129153,"Donkat Properties, LLC",Marion Quimby Drive,"Stevensville,MD,21666",Queen Anne's,Settlement Agreement,SA-13-1855,02/25/2013,01/28/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,129893,PG DPW&T/Anacostia River Levee,Several locations,"Bladensburg,MD",Prince George's,Penalty Settlement,C-15-2181,12/03/2014,02/03/2015,Sediment;Waterway Construction,
,131006,Tri-County Council for Lower Eastern Shore/Multi-Purpose Center,31901 Comtek Lane,"Salisbury,MD,21801",Wicomico,Penalty Settlement,PS-13-1711,10/17/2012,10/17/2012,Sediment,
,131195,Crest Pointe Apts,6 Brubar Court,"Gwynn Oak,MD,21207",Baltimore,Site Complaint,,,07/01/2010,Not Applicable,
,131871,Carroll County Bureau of Building Construction N side of Woodbine Road between Braddock and Bethel,"North side of Woodbine Road between , intersections with Braddock and Bethel Roads, 7200 ft (1.36mi) south of intersection of Woodbine Road and MD 26 (Liverty Road)","Woodbine,MD",Howard,Penalty Settlement,PS-14-2027,11/19/2013,01/14/2014,Notice of Intent,Notice of Intent (Construction)
,131958,CH DPW - Pinefield Subdivision,Temi Drive,"Waldorf,MD,20601",Charles,Settlement Agreement,C-17-2438,02/13/2017,03/28/2017,Sediment,
,132198,Prospect Green Inc,East side of Fountain Green Rd south of Prospect Mill Rd,"Bel Air,MD,21015",Harford,Settlement Agreement,SAP-13-1920,05/15/2013,06/09/2013,Notice of Intent;Sediment,
,132293,Douglas Tavenner Property,7310 Westwood Drive,"Frederick,MD,21701",Frederick,Settlement Agreement,SAP-13-1817,12/13/2012,12/13/2012,Sediment;Waterway Construction,
,132454,Jeff Lyon,20345 Gore Mill Rd,"Freeland,MD,21053",Baltimore,Settlement Agreement,SA-12-1669,05/24/2012,02/01/2013,Sediment,
,132780,Spiro Buas,11600 Ocean Gateway,"Berlin,MD,21811",Worcester,Consent Order,SAP-13-1838,02/25/2013,01/15/2016,Non-Tidal Wetlands,
,133259,S/C Odenton III LLC-Odenton Nevamar,8305 Telegraph Rd,"Odenton,MD,21113-1397",Anne Arundel,Penalty Settlement,Arno Laud,11/05/2012,12/17/2012,Non-Tidal Wetlands,Notice of Intent (Construction)
,134031,3825 Yellow Bank Road,3825 Yellow Bank Rd,"Dunkirk,MD,20754",Calvert,"Complaint, Order, Penalty",A-O-P-12-1547,12/05/2011,03/15/2016,Notice of Intent;Sediment,Notice of Intent (Construction)
,134101,Gregory Fahrner 24691 Red Hill Ct,24691 Red Hill Court,"Hollywood,MD,20636",St. Mary's,Penalty Settlement,PS-13-1765,09/14/2012,09/15/2012,Tidal Wetlands,
,134466,48226 Far Cry Rd,48226 Far Cry Rd,"Lexington Park,MD,20653",St. Mary's,Settlement Agreement,Arno Laud,09/06/2013,11/06/2014,Sediment,
