document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program,county_slug,site_slug
,31284,"P & J Contracting Company, Inc.",4300 Shannon Dr.,"Baltimore,MD,21213",Baltimore City,Consent Order,CD-16-2304,2012-10-02,2015-09-09,Sediment;Stormwater Management,Industrial Stormwater,baltimore-city,p-j-contracting-company-inc
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1597406,31405,Allegany County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Allegany,Stipulated Penalty,SP-21-2723,2020-12-31,,Surface Water Discharge Unauthorized,Collection System (SSO),allegany,allegany-county-sanitary-sewer-overflows
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1596837,31405,Allegany County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Allegany,Stipulated Penalty,SP-22-2811,2022-04-30,,Surface Water Discharge Unauthorized,Collection System (SSO),allegany,allegany-county-sanitary-sewer-overflows
,31401,Saint Mary's County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",St. Mary's,Penalty Settlement,SAP-17-2416,2016-08-04,2016-08-31,Surface Water Discharge Unauthorized,Collection System (SSO),st-mary-s,saint-mary-s-county-sanitary-sewer-overflows
,31403,Frederick County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Frederick,Penalty Settlement,Joe Bieberich,2017-04-04,2017-04-11,Surface Water Discharge Unauthorized,Collection System (SSO),frederick,frederick-county-sanitary-sewer-overflows
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1596837,31405,Allegany County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Allegany,Stipulated Penalty,SP-23-2892,2023-04-03,,Surface Water Discharge Unauthorized,Collection System (SSO),allegany,allegany-county-sanitary-sewer-overflows
,31406,Washington County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Washington,Penalty Settlement,Joe Bieberich,2017-03-24,2017-04-12,Surface Water Discharge Unauthorized,Collection System (SSO),washington,washington-county-sanitary-sewer-overflows
,31409,Howard County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Howard,Penalty Settlement,Arno Laud,2014-11-13,2014-12-26,Surface Water Discharge Unauthorized,Collection System (SSO),howard,howard-county-sanitary-sewer-overflows
,31409,Howard County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Howard,Penalty Settlement,Ryan Seavolt,2012-08-16,2012-10-02,Surface Water Discharge Unauthorized,Collection System (SSO),howard,howard-county-sanitary-sewer-overflows
,31409,Howard County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Howard,Stipulated Penalty,Arno Laud,2019-09-06,2019-10-08,Surface Water Discharge Unauthorized,Collection System (SSO),howard,howard-county-sanitary-sewer-overflows
,31409,Howard County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Howard,Stipulated Penalty,SP-22-2750,2021-10-20,2022-09-26,Surface Water Discharge Unauthorized,Collection System (SSO),howard,howard-county-sanitary-sewer-overflows
,31409,Howard County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Howard,Stipulated Penalty,SP-22-2802,2022-09-09,2022-09-26,Surface Water Discharge Unauthorized,Collection System (SSO),howard,howard-county-sanitary-sewer-overflows
,31411,Kent County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Kent,Penalty Settlement,"Bull, Kevin",2011-08-10,2016-09-23,Surface Water Discharge Unauthorized,Collection System (SSO),kent,kent-county-sanitary-sewer-overflows
,31411,Kent County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Kent,Penalty Settlement,"Bull, Kevin",2012-08-16,2012-11-06,Surface Water Discharge Unauthorized,Collection System (SSO),kent,kent-county-sanitary-sewer-overflows
,31413,Somerset County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Somerset,Penalty Settlement,Jami Everton,2020-02-24,2020-09-04,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor,somerset,somerset-county-sanitary-sewer-overflows
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1631303,31417,Washington Suburban Sanitary Commission Sanitary Sewer Overflows,Sewerage Systems in Montgomery & Prince George's Counties,"PG & Montgolery Counties,MD,00000",Statewide,Consent Decree,Lenn Roberts,2005-07-21,,Surface Water Discharge Unauthorized,Collection System (SSO),statewide,washington-suburban-sanitary-commission-sanitary-sewer-overflows
,31417,Washington Suburban Sanitary Commission Sanitary Sewer Overflows,Sewerage Systems in Montgomery & Prince George's Counties,"PG & Montgolery Counties,MD,00000",Statewide,Stipulated Penalty,Kevin Bull,2016-08-09,2016-09-01,Surface Water Discharge Permit,Collection System (SSO),statewide,washington-suburban-sanitary-commission-sanitary-sewer-overflows
,31417,Washington Suburban Sanitary Commission Sanitary Sewer Overflows,Sewerage Systems in Montgomery & Prince George's Counties,"PG & Montgolery Counties,MD,00000",Statewide,Stipulated Penalty,Lenn Roberts,2019-10-10,2020-08-18,Surface Water Discharge Unauthorized,Collection System (SSO),statewide,washington-suburban-sanitary-commission-sanitary-sewer-overflows
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1631303,31417,Washington Suburban Sanitary Commission Sanitary Sewer Overflows,Sewerage Systems in Montgomery & Prince George's Counties,"PG & Montgolery Counties,MD,00000",Statewide,Stipulated Penalty,SP-22-2748,2021-10-25,,Surface Water Discharge Unauthorized,Collection System (SSO),statewide,washington-suburban-sanitary-commission-sanitary-sewer-overflows
,31553,"Kemira Water Solutions, Inc. - Baltimore Plant",3925 Fort Armistead Road,"Curtis Bay,MD,21226",Baltimore City,Penalty Settlement,PS-15-2227,2015-03-04,2015-04-06,Surface Water Discharge Unauthorized,Collection System (SSO),baltimore-city,kemira-water-solutions-inc-baltimore-plant
,32502,Harford County Public Schools Administration Building,102 S. Hickory Avenue,"Bel Air,MD,21014",Harford,Penalty Settlement,PS-12-1683,2012-07-18,2012-07-19,Surface Water Discharge Unauthorized,,harford,harford-county-public-schools-administration-building
,42398,"P & J Contracting Company, Inc",3010 Ridgewood Ave,"Baltimore City,MD,21215",Baltimore City,Complaint & Penalty,,2012-10-03,2012-10-16,Sediment,,baltimore-city,p-j-contracting-company-inc
,70438,Cl Brm/westminster Hs/swm Facility,WESTMINSTER HIGH SCHOOL,"Westminster,MD",Carroll,Consent Order,COP-13-1954,2013-07-09,2013-08-06,Non-Tidal Wetlands,,carroll,cl-brm-westminster-hs-swm-facility
,70460,"Hollingsworth, Joe/stream Xing",2809 Chancellor Point Rd,"Trappe,MD,21673",Talbot,"Complaint, Order, Penalty",Eisgruber,2012-01-01,2014-06-11,Tidal Wetlands,,talbot,hollingsworth-joe-stream-xing
,70460,"Hollingsworth, Joe/stream Xing",2809 Chancellor Point Rd,"Trappe,MD,21673",Talbot,Consent Decree,Joe Bieberich,2014-06-11,2016-09-14,Non-Tidal Wetlands,,talbot,hollingsworth-joe-stream-xing
,72914,Assoc Of Maryland Pilots,239 ALEXANDER ST,"Solomons,MD",Calvert,Penalty Settlement,PS-13-1848,2013-02-04,2013-02-19,Tidal Wetlands,,calvert,assoc-of-maryland-pilots
,74851,Bauserman Service/maryland Airport/lot,RTE 224 (LIVINGSTON ROAD),"Indian Head,MD",Charles,Penalty Settlement,PS-13-1943,2013-05-23,2013-05-23,Notice of Intent,,charles,bauserman-service-maryland-airport-lot
,78229,City Of Westminster/sanitary Sewer,CITY OF WESTMINSTER,"Westminster,MD,",Carroll,Penalty Settlement,PS-13-1847,2013-02-01,2016-09-27,Surface Water Discharge Unauthorized,Collection System (SSO),carroll,city-of-westminster-sanitary-sewer
,85056,WSSC Rocky Gorge WPS,7400 Brooklyn Bridge Road,"Laurel,MD,20707",Prince George's,Penalty Settlement,10SF0247,2015-02-24,2015-03-24,Notice of Intent;Sediment,Notice of Intent (Construction),prince-george-s,wssc-rocky-gorge-wps
,98966,Gerald Birch,49705 Airedele Road,"Ridge,MD,20680",St. Mary's,Penalty Settlement,PS-13-1786,2012-10-19,2013-08-23,Tidal Wetlands,,st-mary-s,gerald-birch
,104312,Solomons Beacon Inn/bulkhead,255 Lore Road,"Solomons,MD,20688",Calvert,Penalty Settlement,PS-14-1990,2013-09-17,2013-09-18,Surface Water Discharge Unauthorized,Collection System (SSO),calvert,solomons-beacon-inn-bulkhead
,109495,VOB Limited Partnership-Beech Tree,Intersect of Leeland Road and US 301,"Upper Marlboro,MD,20772",Prince George's,Consent Order,COP-13-1836,2013-01-15,2013-12-14,Sediment,,prince-george-s,vob-limited-partnership-beech-tree
,113856,White Hall Yacht Yard/boat Ramp,WHITE HALL YACHT YARD INC,"Annapolis,MD",Anne Arundel,Settlement Agreement,SA-14-2046,2014-01-27,2014-01-27,Tidal Wetlands,,anne-arundel,white-hall-yacht-yard-boat-ramp
,118803,"Lavato, Domenic/revetment",6221 Ray Norwood Rd,"Prince Frederick,MD,20678",Calvert,Settlement Agreement,Patrick Noyes,2017-11-27,2018-03-08,Tidal Wetlands,,calvert,lavato-domenic-revetment
,122010,"Mapes Road Installation of 20""Waterline","39.103968, -76.737524","Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,PS-15-2279,2015-06-30,2015-07-22,Notice of Intent,Notice of Intent (Construction),anne-arundel,mapes-road-installation-of-20-waterline
,125437,Grayson Wilbur,2375 Cape Leonard Drive,"Saint Leonard,MD,20685",Calvert,Penalty Settlement,PS-13-1919,2013-04-26,2013-05-28,Tidal Wetlands,,calvert,grayson-wilbur
,127505,Triumph Industrial Park,505 Blue Ball Road,"Elkton,MD,21921",Cecil,Penalty Settlement,C-15-2211,2015-01-22,2015-02-11,Notice of Intent;Sediment,Notice of Intent (Construction),cecil,triumph-industrial-park
,129153,"Donkat Properties, LLC",Marion Quimby Drive,"Stevensville,MD,21666",Queen Anne's,Complaint & Penalty,SA-13-1855,2012-11-20,2014-01-28,Sediment,,queen-anne-s,donkat-properties-llc
,129153,"Donkat Properties, LLC",Marion Quimby Drive,"Stevensville,MD,21666",Queen Anne's,Settlement Agreement,SA-13-1855,2013-02-25,2014-01-28,Notice of Intent;Sediment,Notice of Intent (Construction),queen-anne-s,donkat-properties-llc
,129893,PG DPW&T/Anacostia River Levee,Several locations,"Bladensburg,MD",Prince George's,Penalty Settlement,C-15-2181,2014-12-03,2015-02-03,Sediment;Waterway Construction,,prince-george-s,pg-dpw-t-anacostia-river-levee
,131006,Tri-County Council for Lower Eastern Shore/Multi-Purpose Center,31901 Comtek Lane,"Salisbury,MD,21801",Wicomico,Penalty Settlement,PS-13-1711,2012-10-17,2012-10-17,Sediment,,wicomico,tri-county-council-for-lower-eastern-shore-multi-purpose-center
,131195,Crest Pointe Apts,6 Brubar Court,"Gwynn Oak,MD,21207",Baltimore,Site Complaint,,,2010-07-01,Not Applicable,,baltimore,crest-pointe-apts
,131871,Carroll County Bureau of Building Construction N side of Woodbine Road between Braddock and Bethel,"North side of Woodbine Road between , intersections with Braddock and Bethel Roads, 7200 ft (1.36mi) south of intersection of Woodbine Road and MD 26 (Liverty Road)","Woodbine,MD",Howard,Penalty Settlement,PS-14-2027,2013-11-19,2014-01-14,Notice of Intent,Notice of Intent (Construction),howard,carroll-county-bureau-of-building-construction-n-side-of-woodbine-road-between-braddock-and-bethel
,131958,CH DPW - Pinefield Subdivision,Temi Drive,"Waldorf,MD,20601",Charles,Settlement Agreement,C-17-2438,2017-02-13,2017-03-28,Sediment,,charles,ch-dpw-pinefield-subdivision
,132198,Prospect Green Inc,East side of Fountain Green Rd south of Prospect Mill Rd,"Bel Air,MD,21015",Harford,Settlement Agreement,SAP-13-1920,2013-05-15,2013-06-09,Notice of Intent;Sediment,,harford,prospect-green-inc
,132293,Douglas Tavenner Property,7310 Westwood Drive,"Frederick,MD,21701",Frederick,Settlement Agreement,SAP-13-1817,2012-12-13,2012-12-13,Sediment;Waterway Construction,,frederick,douglas-tavenner-property
,132454,Jeff Lyon,20345 Gore Mill Rd,"Freeland,MD,21053",Baltimore,Settlement Agreement,SA-12-1669,2012-05-24,2013-02-01,Sediment,,baltimore,jeff-lyon
,132780,Spiro Buas,11600 Ocean Gateway,"Berlin,MD,21811",Worcester,Consent Order,SAP-13-1838,2013-02-25,2016-01-15,Non-Tidal Wetlands,,worcester,spiro-buas
,133259,S/C Odenton III LLC-Odenton Nevamar,8305 Telegraph Rd,"Odenton,MD,21113-1397",Anne Arundel,Penalty Settlement,Arno Laud,2012-11-05,2012-12-17,Non-Tidal Wetlands,Notice of Intent (Construction),anne-arundel,s-c-odenton-iii-llc-odenton-nevamar
,134031,3825 Yellow Bank Road,3825 Yellow Bank Rd,"Dunkirk,MD,20754",Calvert,"Complaint, Order, Penalty",A-O-P-12-1547,2011-12-05,2016-03-15,Notice of Intent;Sediment,Notice of Intent (Construction),calvert,3825-yellow-bank-road
,134101,Gregory Fahrner 24691 Red Hill Ct,24691 Red Hill Court,"Hollywood,MD,20636",St. Mary's,Penalty Settlement,PS-13-1765,2012-09-14,2012-09-15,Tidal Wetlands,,st-mary-s,gregory-fahrner-24691-red-hill-ct
,134466,48226 Far Cry Rd,48226 Far Cry Rd,"Lexington Park,MD,20653",St. Mary's,Settlement Agreement,Arno Laud,2013-09-06,2014-11-06,Sediment,,st-mary-s,48226-far-cry-rd
,134742,August Run Subdivision,Ball Rd,"Saint Leonard,MD,20685",Calvert,Settlement Agreement,SA-13-1924,2013-05-15,2013-05-15,Notice of Intent,Notice of Intent (Construction),calvert,august-run-subdivision
,134782,Dover Bridge MHP (previously called Prettyman Manor Mobile Home Park),21269 Dover Bridge Road,"Preston,MD,21655",Caroline,Consent Order,CO-17-2424,2016-10-26,2022-02-25,Surface Water Discharge Permit,Municipal Minor,caroline,dover-bridge-mhp-previously-called-prettyman-manor-mobile-home-park
,135237,Newell and Richmond Hall Renovations Towson University,"Stephens  Ave, Towson University","Towson,MD,21204",Baltimore,Site Complaint,,2011-08-02,2015-12-11,Not Applicable,,baltimore,newell-and-richmond-hall-renovations-towson-university
,135740,Mark Allen,Corner of Bee Tree & Delp Rds,"Henderson,MD,21640",Caroline,Consent Order,CO-10-1035,2009-11-06,2020-05-20,Non-Tidal Wetlands,,caroline,mark-allen
,136349,Rolling Oaks Subdivision,Rolling Oaks Subdivision,"Ellerslie,MD,21529",Allegany,Settlement Agreement,12-AL-0053,2013-02-28,2013-07-18,Notice of Intent;Sediment;Stormwater Management,Notice of Intent (Construction),allegany,rolling-oaks-subdivision
,136349,Rolling Oaks Subdivision,Rolling Oaks Subdivision,"Ellerslie,MD,21529",Allegany,Settlement Agreement,Joe Bieberich,2013-07-18,2016-04-18,Notice of Intent;Sediment;Stormwater Management,Notice of Intent (Construction),allegany,rolling-oaks-subdivision
,136653,4000 Principio Blvd,4000 Principio Blvd,"North East,MD,21901",Cecil,Penalty Settlement,PS-16-2325,2012-07-24,2012-07-25,Notice of Intent;Sediment,,cecil,4000-principio-blvd
,136766,Calvert County Water & Sewerage on N Prince Frederick Blvd,N Prince Frederick Blvd across from library,"Prince Frederick,MD,20678",Calvert,,,2012-02-09,2014-09-14,Not Applicable,,calvert,calvert-county-water-sewerage-on-n-prince-frederick-blvd
,136778,MO DOT-Sweepstakes Road,10200 to 10400 Sweepstakes Road,"Damascus,MD,20872",Montgomery,Penalty Settlement,C-16-2342,2015-11-23,2015-12-15,Non-Tidal Wetlands;Sediment;Waterway Construction,,montgomery,mo-dot-sweepstakes-road
,136840,SImpson Mill LLC,Rte 32 and Cedar Lane intersection,"Columbia,MD,21043",Howard,Penalty Settlement,PS-14-2014,2013-10-10,2013-10-23,Notice of Intent;Sediment,Notice of Intent (Construction),howard,simpson-mill-llc
,137008,BaysideFarms/PuseyProperty/SnowHillRd,"Bayside Farms Maryland Limited Partnership, Map 0079 parcel 0300","Snow Hill,MD,21863",Worcester,Consent Order,SAP-14-2064,2014-03-06,,Non-Tidal Wetlands,,worcester,baysidefarms-puseyproperty-snowhillrd
,137217,Todd E Burbage Irrevocable Trust,Public Landing Wharf Road,"Snow Hill,MD,21863",Worcester,Consent Order,SA-17-2441,2017-03-09,2018-06-21,Non-Tidal Wetlands;Tidal Wetlands,Industrial Minor,worcester,todd-e-burbage-irrevocable-trust
,137755,*12-WA-0064 Fountainhead One,Pennsylvania Ave,"Hagerstown,MD,21742",Washington,Penalty Settlement,PS-13-1732,2012-08-03,2012-08-28,Notice of Intent;Sediment,Notice of Intent (Construction),washington,12-wa-0064-fountainhead-one
,137926,341 Edgewater Rd,341 Edgewater Rd,"Pasadena,MD,21122",Anne Arundel,Penalty Settlement,Arno Laud,2012-10-17,2018-03-12,Tidal Wetlands,,anne-arundel,341-edgewater-rd
,137972,13357 Osprey Ln,13357 Osprey Ln,"Dowell,MD,20629",Calvert,Penalty Settlement,PS-13-1763,2012-10-18,2012-10-18,Tidal Wetlands,,calvert,13357-osprey-ln
,138098,Liberty Wine and Liquor,National Hwy,"Cumberland,MD,21502",Allegany,Penalty Settlement,C-14-1965,2013-07-16,2013-08-09,Sediment,,allegany,liberty-wine-and-liquor
,138132,E Way Dr Charles Wood,E Way,"Scotland,MD,20687",St. Mary's,Penalty Settlement,PS-13-1782,2012-09-28,2013-07-09,Tidal Wetlands,,st-mary-s,e-way-dr-charles-wood
,138207,PB Land Trust-Preserve at Southeast Creek,SW corner of MD 213 and Bens Point Road,"Church Hill,MD,21623",Queen Anne's,Complaint & Penalty,SA-14-2024,2013-05-20,2013-11-08,Sediment,,queen-anne-s,pb-land-trust-preserve-at-southeast-creek
,138224,"MNCPPC-Anacostia Riverwalk, Kenilworth Section",East bank of the Anacostia River,"Cheverly,MD,20781",Prince George's,Penalty Settlement,PS-15-2237,2015-04-02,2015-04-15,Tidal Wetlands,,prince-george-s,mncppc-anacostia-riverwalk-kenilworth-section
,138265,11309 Acton Drive,11309 Acton Drive,"Waldorf,MD,20601",Charles,Penalty Settlement,PS-13-1925,2013-02-13,2013-07-12,Surface Water Discharge Unauthorized,Industrial Minor,charles,11309-acton-drive
,138368,MD SHA-Bridge No 03140-I-695 over Milford Mills Road,I-695 over Milford Mills Road,"Pikesville,MD,21208",Baltimore,Penalty Settlement,C-16-2320,2015-09-24,2015-10-15,Sediment,,baltimore,md-sha-bridge-no-03140-i-695-over-milford-mills-road
,31414,Talbot County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Talbot,Penalty Settlement,PS-16-2403,2016-07-07,2016-06-27,Surface Water Discharge Unauthorized,Collection System (SSO),talbot,talbot-county-sanitary-sewer-overflows
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1631303,31417,Washington Suburban Sanitary Commission Sanitary Sewer Overflows,Sewerage Systems in Montgomery & Prince George's Counties,"PG & Montgolery Counties,MD,00000",Statewide,Stipulated Penalty,SP-23-2844,2022-11-07,,Surface Water Discharge Unauthorized,Collection System (SSO),statewide,washington-suburban-sanitary-commission-sanitary-sewer-overflows
,31447,Abner's Marina,3705 Harbor Road,"Chesapeake Beach,MD,20732",Calvert,Consent Decree,CJ-13-1905,2013-04-12,2018-12-18,Surface Water Discharge Permit;Tidal Wetlands,Industrial Stormwater,calvert,abner-s-marina
,31795,Lake Haven Mobile Home Park WWTP,11003 Grays Corner Rd,"Berlin,MD,21811",Worcester,Complaint & Penalty,AP-20-2611,2019-10-07,2021-01-22,Surface Water Discharge Permit,Municipal Minor,worcester,lake-haven-mobile-home-park-wwtp
,32590,Easton Utilities,201 N Washington Street,"Easton,MD,21601",Talbot,Offer to Settle,,2020-03-09,2020-05-11,Groundwater Discharge Unauthorized;Surface Water Discharge Permit,Municipal Minor,talbot,easton-utilities
